STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00041253,"CACHUMA LAKE, CA US",1952-10-03,,,0,0,0,94,46,57
USC00041253,"CACHUMA LAKE, CA US",1952-10-04,,,0,0,0,92,45,60
USC00041253,"CACHUMA LAKE, CA US",1952-10-05,,,0,0,0,90,46,61
USC00041253,"CACHUMA LAKE, CA US",1952-10-06,,,0,0,0,93,50,67
USC00041253,"CACHUMA LAKE, CA US",1952-10-07,,,0,0,0,90,47,60
USC00041253,"CACHUMA LAKE, CA US",1952-10-08,,,0,0,0,88,42,58
USC00041253,"CACHUMA LAKE, CA US",1952-10-09,,,0,0,0,78,45,52
USC00041253,"CACHUMA LAKE, CA US",1952-10-10,,,0,0,0,81,47,53
USC00041253,"CACHUMA LAKE, CA US",1952-10-11,,,0,0,0,76,45,50
USC00041253,"CACHUMA LAKE, CA US",1952-10-12,,,0,0,0,77,45,48
USC00041253,"CACHUMA LAKE, CA US",1952-10-13,,,0,0,0,78,46,49
USC00041253,"CACHUMA LAKE, CA US",1952-10-14,,,0,0,0,73,45,50
USC00041253,"CACHUMA LAKE, CA US",1952-10-15,,,0,0,0,76,44,48
USC00041253,"CACHUMA LAKE, CA US",1952-10-16,,,0,0,0,69,48,62
USC00041253,"CACHUMA LAKE, CA US",1952-10-17,,,0,0,0,70,47,61
USC00041253,"CACHUMA LAKE, CA US",1952-10-18,,,0,0,0,76,52,59
USC00041253,"CACHUMA LAKE, CA US",1952-10-19,,,0,0,0,74,35,50
USC00041253,"CACHUMA LAKE, CA US",1952-10-20,,,0,0,0,79,37,51
USC00041253,"CACHUMA LAKE, CA US",1952-10-21,,,0,0,0,87,40,58
USC00041253,"CACHUMA LAKE, CA US",1952-10-22,,,0,0,0,70,45,49
USC00041253,"CACHUMA LAKE, CA US",1952-10-23,,,0,0,0,68,43,48
USC00041253,"CACHUMA LAKE, CA US",1952-10-24,,,0,0,0,73,38,50
USC00041253,"CACHUMA LAKE, CA US",1952-10-25,,,0,0,0,79,37,48
USC00041253,"CACHUMA LAKE, CA US",1952-10-26,,,0,0,0,73,37,47
USC00041253,"CACHUMA LAKE, CA US",1952-10-27,,,0,0,0,72,32,45
USC00041253,"CACHUMA LAKE, CA US",1952-10-28,,,0,0,0,80,38,60
USC00041253,"CACHUMA LAKE, CA US",1952-10-29,,,0,0,0,88,38,44
USC00041253,"CACHUMA LAKE, CA US",1952-10-30,,,0,0,0,74,40,46
USC00041253,"CACHUMA LAKE, CA US",1952-10-31,,,0,0,0,68,42,46
USC00041253,"CACHUMA LAKE, CA US",1952-11-01,,,0,0,0,70,46,50
USC00041253,"CACHUMA LAKE, CA US",1952-11-02,,,0,0,0,66,42,45
USC00041253,"CACHUMA LAKE, CA US",1952-11-03,,,0,0,0,78,39,58
USC00041253,"CACHUMA LAKE, CA US",1952-11-04,,,0,0,0,86,46,62
USC00041253,"CACHUMA LAKE, CA US",1952-11-05,,,0,0,0,85,47,63
USC00041253,"CACHUMA LAKE, CA US",1952-11-06,,,0,0,0,80,40,58
USC00041253,"CACHUMA LAKE, CA US",1952-11-07,,,0,0,0,81,48,62
USC00041253,"CACHUMA LAKE, CA US",1952-11-08,,,0,0,0,64,45,53
USC00041253,"CACHUMA LAKE, CA US",1952-11-09,,,0,0,0,72,33,43
USC00041253,"CACHUMA LAKE, CA US",1952-11-10,,,0,0,0,76,33,47
USC00041253,"CACHUMA LAKE, CA US",1952-11-11,,,0,0,0,78,35,46
USC00041253,"CACHUMA LAKE, CA US",1952-11-12,,,0,0,0,77,33,43
USC00041253,"CACHUMA LAKE, CA US",1952-11-13,,,0,0,0,74,38,52
USC00041253,"CACHUMA LAKE, CA US",1952-11-14,,,0.63,0,0,68,42,50
USC00041253,"CACHUMA LAKE, CA US",1952-11-15,,,2.61,0,0,56,41,47
USC00041253,"CACHUMA LAKE, CA US",1952-11-16,,,0.03,0,0,53,37,44
USC00041253,"CACHUMA LAKE, CA US",1952-11-17,,,0,0,0,59,33,48
USC00041253,"CACHUMA LAKE, CA US",1952-11-18,,,0,0,0,63,36,52
USC00041253,"CACHUMA LAKE, CA US",1952-11-19,,,0,0,0,66,36,56
USC00041253,"CACHUMA LAKE, CA US",1952-11-20,,,0,0,0,70,38,62
USC00041253,"CACHUMA LAKE, CA US",1952-11-21,,,0,0,0,74,34,40
USC00041253,"CACHUMA LAKE, CA US",1952-11-22,,,0,0,0,62,39,44
USC00041253,"CACHUMA LAKE, CA US",1952-11-23,,,0,0,0,60,35,45
USC00041253,"CACHUMA LAKE, CA US",1952-11-24,,,0,0,0,60,29,34
USC00041253,"CACHUMA LAKE, CA US",1952-11-25,,,0,0,0,61,27,40
USC00041253,"CACHUMA LAKE, CA US",1952-11-26,,,0,0,0,58,34,44
USC00041253,"CACHUMA LAKE, CA US",1952-11-27,,,0,0,0,59,33,42
USC00041253,"CACHUMA LAKE, CA US",1952-11-28,,,0,0,0,59,30,41
USC00041253,"CACHUMA LAKE, CA US",1952-11-29,,,0,0,0,57,30,41
USC00041253,"CACHUMA LAKE, CA US",1952-11-30,,,1.05,0,0,53,40,46
USC00041253,"CACHUMA LAKE, CA US",1952-12-01,,,2.03,0,0,54,45,50
USC00041253,"CACHUMA LAKE, CA US",1952-12-02,,,0.02,0,0,54,31,42
USC00041253,"CACHUMA LAKE, CA US",1952-12-03,,,0,0,0,55,28,40
USC00041253,"CACHUMA LAKE, CA US",1952-12-04,,,0,0,0,62,36,46
USC00041253,"CACHUMA LAKE, CA US",1952-12-05,,,0.17,0,0,64,45,48
USC00041253,"CACHUMA LAKE, CA US",1952-12-06,,,0,0,0,57,31,35
USC00041253,"CACHUMA LAKE, CA US",1952-12-07,,,,0,0,55,32,43
USC00041253,"CACHUMA LAKE, CA US",1952-12-08,,,0,0,0,53,43,45
USC00041253,"CACHUMA LAKE, CA US",1952-12-09,,,0,0,0,60,30,34
USC00041253,"CACHUMA LAKE, CA US",1952-12-10,,,0,0,0,65,32,39
USC00041253,"CACHUMA LAKE, CA US",1952-12-11,,,0,0,0,68,36,47
USC00041253,"CACHUMA LAKE, CA US",1952-12-12,,,0,0,0,69,42,47
USC00041253,"CACHUMA LAKE, CA US",1952-12-13,,,0,0,0,75,40,50
USC00041253,"CACHUMA LAKE, CA US",1952-12-14,,,0,0,0,77,40,52
USC00041253,"CACHUMA LAKE, CA US",1952-12-15,,,0,0,0,77,35,53
USC00041253,"CACHUMA LAKE, CA US",1952-12-16,,,0,0,0,72,33,42
USC00041253,"CACHUMA LAKE, CA US",1952-12-17,,,0,0,0,57,38,47
USC00041253,"CACHUMA LAKE, CA US",1952-12-18,,,0,0,0,60,31,34
USC00041253,"CACHUMA LAKE, CA US",1952-12-19,,,1.37,0,0,54,32,48
USC00041253,"CACHUMA LAKE, CA US",1952-12-20,,,0.38,0,0,53,42,46
USC00041253,"CACHUMA LAKE, CA US",1952-12-21,,,0,0,0,54,29,33
USC00041253,"CACHUMA LAKE, CA US",1952-12-22,,,0,0,0,60,27,29
USC00041253,"CACHUMA LAKE, CA US",1952-12-23,,,0,0,0,64,26,30
USC00041253,"CACHUMA LAKE, CA US",1952-12-24,,,0,0,0,57,29,39
USC00041253,"CACHUMA LAKE, CA US",1952-12-25,,,0,0,0,53,30,37
USC00041253,"CACHUMA LAKE, CA US",1952-12-26,,,0,0,0,58,31,34
USC00041253,"CACHUMA LAKE, CA US",1952-12-27,,,1.37,0,0,61,33,43
